step,grad_steps,ep_count,critic_loss,actor_loss,alpha,q_mean,target_q_mean,log_prob,dg_gate_mean,dg_gate_std,dg_delight_mean,v_loss,v_mean,alpha_std,alpha_min,alpha_max,ucb_mult_mean,ucb_mult_max,q_disagree_mean,cos_sim_mean,cos_sim_improved,spg_q_gain,reparam_q_gain,from_sba,from_actor,from_sample,spg_frac,spg_step_norm
2510,1000,2,0.03529680147767067,0.2562847137451172,0.03238600492477417,1.467837929725647,1.4531724452972412,2.9510579109191895,1.0,0.0,0.1641019880771637,0.0,0.0,0.0,0.03238600492477417,0.03238600492477417,1.0,1.0,0.0,0.5756798982620239,0.5756798982620239,0.1641019880771637,0.1297348141670227,0.5859375,0.0,0.4140625,1.0,0.906554102897644
4510,2000,4,0.025396930053830147,0.2655303478240967,0.02338014915585518,1.6740236282348633,1.6835540533065796,2.5761146545410156,1.0,0.0,0.06782371550798416,0.0,0.0,0.0,0.02338014915585518,0.02338014915585518,1.0,1.0,0.0,0.4219231903553009,0.4219231903553009,0.06782371550798416,0.052467841655015945,0.2890625,0.0,0.7109375,1.0,1.0307984352111816
6510,3000,6,0.022259388118982315,0.31330111622810364,0.020785119384527206,1.5568311214447021,1.5703017711639404,2.50144624710083,1.0,0.0,0.05757885053753853,0.0,0.0,0.0,0.020785119384527206,0.020785119384527206,1.0,1.0,0.0,0.4038061499595642,0.4038061499595642,0.05757885053753853,0.0415121391415596,0.2578125,0.0,0.7421875,1.0,1.1459009647369385
8510,4000,8,0.025342989712953568,0.33149129152297974,0.018859419971704483,1.538123607635498,1.531272292137146,3.440722703933716,1.0,0.0,0.062393028289079666,0.0,0.0,0.0,0.018859419971704483,0.018859419971704483,1.0,1.0,0.0,0.4142884314060211,0.4142884314060211,0.062393028289079666,0.04285218566656113,0.2578125,0.0,0.7421875,1.0,1.1297227144241333
10510,5000,10,0.02681708335876465,0.2860202193260193,0.01875290647149086,1.43585205078125,1.4644460678100586,2.845506429672241,1.0,0.0,0.0804465264081955,0.0,0.0,0.0,0.01875290647149086,0.01875290647149086,1.0,1.0,0.0,0.3849591314792633,0.3849591314792633,0.0804465264081955,0.054547712206840515,0.2578125,0.0,0.7421875,1.0,1.057518482208252
12510,6000,12,0.06100858375430107,0.3007033169269562,0.017255838960409164,1.6523436307907104,1.6671985387802124,3.276601552963257,1.0,0.0,0.08206255733966827,0.0,0.0,0.0,0.017255838960409164,0.017255838960409164,1.0,1.0,0.0,0.3890633285045624,0.3890633285045624,0.08206255733966827,0.05460866913199425,0.1328125,0.0,0.8671875,1.0,1.0930895805358887
14510,7000,14,0.05932558700442314,0.2896825969219208,0.01678542234003544,1.5642794370651245,1.5024060010910034,3.0592892169952393,1.0,0.0,0.10152530670166016,0.0,0.0,0.0,0.01678542234003544,0.01678542234003544,1.0,1.0,0.0,0.41217535734176636,0.41217535734176636,0.10152530670166016,0.062209486961364746,0.140625,0.0,0.859375,1.0,1.101013422012329
16510,8000,16,0.10350053012371063,0.3072131276130676,0.016041487455368042,2.0684566497802734,2.092944383621216,2.766021966934204,0.9921875,0.0,0.11415428668260574,0.0,0.0,0.0,0.016041487455368042,0.016041487455368042,1.0,1.0,0.0,0.35134872794151306,0.35411524772644043,0.11415428668260574,0.0741562768816948,0.09375,0.0,0.90625,0.9921875,1.1393009424209595
18510,9000,18,0.11821361631155014,0.2693430185317993,0.016271362081170082,2.2767841815948486,2.2418160438537598,3.1896920204162598,0.953125,0.0,0.14595600962638855,0.0,0.0,0.0,0.016271362081170082,0.016271362081170082,1.0,1.0,0.0,0.393130362033844,0.4124646484851837,0.14595600962638855,0.08162276446819305,0.203125,0.0078125,0.7890625,0.953125,1.0545610189437866
20510,10000,20,0.11971496790647507,0.27096208930015564,0.0156254842877388,2.7518391609191895,2.784480094909668,2.7879414558410645,0.96875,0.0,0.16279950737953186,0.0,0.0,0.0,0.0156254842877388,0.0156254842877388,1.0,1.0,0.0,0.4239848554134369,0.4376618266105652,0.16279950737953186,0.11055856943130493,0.1640625,0.0078125,0.828125,0.96875,1.0786473751068115
22510,11000,22,0.15537750720977783,0.25226569175720215,0.015267319977283478,3.0625224113464355,3.0662450790405273,3.0458972454071045,0.9765625,0.0,0.1411888301372528,0.0,0.0,0.0,0.015267319977283478,0.015267319977283478,1.0,1.0,0.0,0.39792394638061523,0.4074741303920746,0.1411888301372528,0.08327147364616394,0.140625,0.0,0.859375,0.9765625,1.013778567314148
24510,12000,24,0.17389033734798431,0.2582864761352539,0.015547134913504124,3.8002607822418213,3.728884220123291,3.393256187438965,0.96875,0.0,0.15978077054023743,0.0,0.0,0.0,0.015547134913504124,0.015547134913504124,1.0,1.0,0.0,0.4407610297203064,0.4549791216850281,0.15978077054023743,0.09318386763334274,0.15625,0.0078125,0.8359375,0.96875,1.0207170248031616
26510,13000,26,0.1964268982410431,0.3181320130825043,0.014858895912766457,4.157233238220215,4.115630149841309,3.5203657150268555,0.984375,0.0,0.17024829983711243,0.0,0.0,0.0,0.014858895912766457,0.014858895912766457,1.0,1.0,0.0,0.3698514699935913,0.37572214007377625,0.17024829983711243,0.08644753694534302,0.1640625,0.0,0.8359375,0.984375,1.1465964317321777
28510,14000,28,0.26328858733177185,0.25853803753852844,0.014694085344672203,4.016531944274902,4.049501419067383,2.995847702026367,0.8984375,0.0,0.1514524519443512,0.0,0.0,0.0,0.014694085344672203,0.014694085344672203,1.0,1.0,0.0,0.3547738194465637,0.39487871527671814,0.1514524519443512,0.08009497821331024,0.2109375,0.0234375,0.765625,0.8984375,1.0401644706726074
30510,15000,30,0.3362230062484741,0.2814221978187561,0.014677286148071289,4.320620536804199,4.3183512687683105,3.1978728771209717,0.9609375,0.0,0.15429271757602692,0.0,0.0,0.0,0.014677286148071289,0.014677286148071289,1.0,1.0,0.0,0.3416527509689331,0.35554108023643494,0.15429271757602692,0.08504949510097504,0.1328125,0.0,0.8671875,0.9609375,1.0836926698684692
32510,16000,32,0.22382867336273193,0.2668118476867676,0.01450277678668499,4.202723503112793,4.264270782470703,3.4252700805664062,0.90625,0.0,0.1515640914440155,0.0,0.0,0.0,0.01450277678668499,0.01450277678668499,1.0,1.0,0.0,0.3882976174354553,0.4284662902355194,0.1515640914440155,0.09185349941253662,0.203125,0.0078125,0.7890625,0.90625,1.0189156532287598
