step,grad_steps,ep_count,critic_loss,actor_loss,alpha,q_mean,target_q_mean,log_prob,dg_gate_mean,dg_gate_std,dg_delight_mean
2510,1000,2,0.00628538616001606,-1.610783338546753,0.019461024552583694,2.910177230834961,2.9234588146209717,-13.392111778259277,0.503856360912323,0.20468568801879883,3.725290298461914e-09
4510,2000,4,0.005894154775887728,-1.8318605422973633,0.009999999776482582,3.4762511253356934,3.496297836303711,-12.286651611328125,0.5050771236419678,0.20484597980976105,-1.1175870895385742e-08
6510,3000,6,0.010501212440431118,-2.0166804790496826,0.009999999776482582,3.8625612258911133,3.8710262775421143,-12.714119911193848,0.5014051198959351,0.20738749206066132,2.7939677238464355e-09
8510,4000,8,0.015890607610344887,-2.1747679710388184,0.009999999776482582,4.268675804138184,4.229002952575684,-12.33584976196289,0.5010331869125366,0.2013929933309555,-7.450580596923828e-09
10510,5000,10,0.016748271882534027,-2.3576135635375977,0.009999999776482582,4.603816509246826,4.601583957672119,-12.31253433227539,0.5025743246078491,0.20280417799949646,-1.4901161193847656e-08
12510,6000,12,0.012707658112049103,-2.520273208618164,0.009999999776482582,4.948087692260742,4.932633399963379,-12.787495613098145,0.49770885705947876,0.20448900759220123,2.7939677238464355e-09
14510,7000,14,0.03504161536693573,-2.597489595413208,0.009999999776482582,5.11400032043457,5.1483540534973145,-12.226716995239258,0.49470221996307373,0.20658208429813385,1.1175870895385742e-08
16510,8000,16,0.02242584526538849,-2.794933557510376,0.009999999776482582,5.435759544372559,5.417326927185059,-12.399507522583008,0.501777172088623,0.19001324474811554,1.862645149230957e-08
18510,9000,18,0.021367020905017853,-2.898941993713379,0.009999999776482582,5.640301704406738,5.645869255065918,-12.116147994995117,0.5020958185195923,0.20515890419483185,0.0
20510,10000,20,0.025629758834838867,-2.8950400352478027,0.009999999776482582,5.812971115112305,5.795000076293945,-12.207295417785645,0.490034282207489,0.18842656910419464,-1.862645149230957e-09
22510,11000,22,0.02634822390973568,-3.0446064472198486,0.009999999776482582,5.973543643951416,6.001014709472656,-11.897331237792969,0.4981456995010376,0.2065586894750595,1.30385160446167e-08
24510,12000,24,0.2007080316543579,-3.1229050159454346,0.009999999776482582,6.126277446746826,6.096881866455078,-11.334698677062988,0.5030006170272827,0.20549684762954712,-5.587935447692871e-09
26510,13000,26,0.028921809047460556,-3.208275318145752,0.009999999776482582,6.310273170471191,6.281082630157471,-11.766275405883789,0.5004985332489014,0.20157593488693237,-1.4901161193847656e-08
28510,14000,28,0.038366738706827164,-3.2595131397247314,0.009999999776482582,6.408269882202148,6.438642978668213,-11.354427337646484,0.5011861324310303,0.20337723195552826,1.4901161193847656e-08
30510,15000,30,0.032529912889003754,-3.3244376182556152,0.009999999776482582,6.5200042724609375,6.489145278930664,-11.285951614379883,0.5028058290481567,0.19812458753585815,-1.862645149230957e-08
32510,16000,32,0.028965521603822708,-3.33444881439209,0.009999999776482582,6.572983741760254,6.586735725402832,-11.496973991394043,0.49899643659591675,0.20731240510940552,-4.6566128730773926e-09
34510,17000,34,0.03933439403772354,-3.422732353210449,0.009999999776482582,6.665969371795654,6.663344383239746,-11.182754516601562,0.5025371313095093,0.2080802172422409,-3.725290298461914e-09
36510,18000,36,0.03242795541882515,-3.4306278228759766,0.009999999776482582,6.739899635314941,6.737410545349121,-11.551351547241211,0.4994485378265381,0.20432041585445404,-1.862645149230957e-08
38510,19000,38,0.037505827844142914,-3.4366555213928223,0.009999999776482582,6.781988143920898,6.8246893882751465,-11.314753532409668,0.49891096353530884,0.20559607446193695,-2.2351741790771484e-08
40510,20000,40,0.03270307928323746,-3.490492582321167,0.009999999776482582,6.872956275939941,6.86373233795166,-11.875715255737305,0.5021185874938965,0.1998230367898941,-7.450580596923828e-09
42510,21000,42,0.04861201345920563,-3.5435333251953125,0.009999999776482582,6.860537528991699,6.901112079620361,-11.03750991821289,0.503268837928772,0.1965247541666031,-1.862645149230957e-09
44510,22000,44,0.035577304661273956,-3.5285112857818604,0.009999999776482582,7.016883850097656,6.956188201904297,-11.697556495666504,0.4989714026451111,0.2057783007621765,1.1175870895385742e-08
46510,23000,46,0.049736954271793365,-3.492300271987915,0.009999999776482582,6.9737467765808105,6.944269180297852,-11.704059600830078,0.49449992179870605,0.1898384541273117,-1.30385160446167e-08
48510,24000,48,0.06482013314962387,-3.5585739612579346,0.009999999776482582,7.075388431549072,6.995221138000488,-11.5697021484375,0.5003228783607483,0.20343546569347382,2.2351741790771484e-08
50510,25000,50,0.04620617255568504,-3.5537614822387695,0.009999999776482582,7.0447678565979,7.056214332580566,-11.602417945861816,0.4981924891471863,0.21089380979537964,1.1175870895385742e-08
52510,26000,52,0.048638030886650085,-3.6470999717712402,0.009999999776482582,7.034355163574219,7.061791896820068,-11.282676696777344,0.5119361281394958,0.1555170863866806,-3.725290298461914e-09
54510,27000,54,0.04494062811136246,-3.5704665184020996,0.009999999776482582,7.040491580963135,7.069123268127441,-11.875020027160645,0.5010194182395935,0.20572641491889954,-1.862645149230957e-09
56510,28000,56,0.045065999031066895,-3.629647970199585,0.009999999776482582,7.13291072845459,7.073927402496338,-11.463628768920898,0.5034887194633484,0.2058144062757492,-1.30385160446167e-08
58510,29000,58,0.04813878983259201,-3.5844693183898926,0.009999999776482582,7.108606815338135,7.10190486907959,-11.0399169921875,0.5010999441146851,0.2012656182050705,-5.587935447692871e-09
60510,30000,60,0.0449809692800045,-3.554945468902588,0.009999999776482582,7.059879779815674,7.086832523345947,-11.049333572387695,0.49561941623687744,0.20593662559986115,0.0
62510,31000,62,0.04682057350873947,-3.6134958267211914,0.009999999776482582,7.086086273193359,7.089878559112549,-10.975704193115234,0.5027315616607666,0.20538535714149475,1.1175870895385742e-08
64510,32000,64,0.040658485144376755,-3.517427921295166,0.009999999776482582,7.078906536102295,7.092679023742676,-11.389656066894531,0.48962318897247314,0.1514124721288681,1.1175870895385742e-08
66510,33000,66,0.043390654027462006,-3.613450527191162,0.009999999776482582,7.085186004638672,7.102211952209473,-11.173498153686523,0.5009661316871643,0.20870472490787506,-1.30385160446167e-08
68510,34000,68,0.041260167956352234,-3.6252036094665527,0.009999999776482582,7.101099014282227,7.110998153686523,-11.385704040527344,0.5024603009223938,0.20460253953933716,0.0
70510,35000,70,0.40897446870803833,-3.560337543487549,0.009999999776482582,7.038791179656982,7.029892921447754,-11.404131889343262,0.49857857823371887,0.20514677464962006,-1.862645149230957e-08
72510,36000,72,0.04169217497110367,-3.578535556793213,0.009999999776482582,7.081944942474365,7.063348770141602,-11.199800491333008,0.4974144399166107,0.2073815017938614,-1.1175870895385742e-08
74510,37000,74,0.04227264225482941,-3.5484089851379395,0.009999999776482582,7.0867838859558105,7.079597473144531,-11.50775146484375,0.49668949842453003,0.20150788128376007,-2.421438694000244e-08
76510,38000,76,0.05569710209965706,-3.6095733642578125,0.009999999776482582,7.090852737426758,7.065012454986572,-10.983026504516602,0.5038714408874512,0.2071515917778015,7.450580596923828e-09
78510,39000,78,0.041864264756441116,-3.5537710189819336,0.009999999776482582,7.043418884277344,7.057428359985352,-11.320459365844727,0.5003634691238403,0.20356573164463043,-2.2351741790771484e-08
80510,40000,80,0.051841557025909424,-3.6306848526000977,0.009999999776482582,6.972038745880127,6.961094379425049,-11.566506385803223,0.5055161714553833,0.19289885461330414,-1.4901161193847656e-08
82510,41000,82,0.1327054798603058,-3.545553207397461,0.009999999776482582,6.970463275909424,6.964775085449219,-11.395393371582031,0.5002704858779907,0.20799538493156433,1.4435499906539917e-08
84510,42000,84,0.4238593578338623,-3.5283565521240234,0.009999999776482582,6.956576347351074,6.921090126037598,-11.310673713684082,0.49833059310913086,0.20638300478458405,5.587935447692871e-09
